iter	Logloss
117	0.4112797081
118	0.4105902317
119	0.4094702617
120	0.4091980599
121	0.4085331731
122	0.407690921
123	0.4072288073
124	0.4060003843
125	0.4057286062
126	0.4047720366
127	0.4041426548
128	0.4037356607
129	0.4033485466
130	0.4029089207
131	0.4023356262
132	0.4015783439
133	0.400919882
134	0.4002846085
135	0.399684175
136	0.3990447659
137	0.39850423
138	0.397742832
139	0.3972597518
140	0.3964200893
141	0.3960981977
142	0.3955792126
143	0.3947832413
144	0.3938896435
145	0.3929693967
146	0.3922089951
147	0.3917482119
148	0.3910783074
149	0.3902781989
150	0.3897932525
151	0.3889366086
152	0.3885324217
153	0.3876694207
154	0.3873163952
155	0.3867318909
156	0.3863995871
157	0.3859631471
158	0.3853959592
159	0.3847598706
160	0.3838623877
161	0.3831502752
162	0.383094766
163	0.382477952
164	0.3819745527
165	0.3809127303
166	0.3801461644
167	0.3791787206
168	0.3786499722
169	0.3780995931
170	0.3770824675
171	0.376821703
172	0.3758735977
173	0.374544169
174	0.3739405085
175	0.3737532095
176	0.373196469
177	0.372734354
178	0.3721938041
179	0.3713571015
180	0.3703544852
181	0.3699424581
182	0.3694640643
183	0.3688825961
184	0.368343865
185	0.3678357481
186	0.3670532815
187	0.36647981
188	0.3659230761
189	0.3654981299
190	0.3647922015
191	0.3643348799
192	0.3640623147
193	0.3635638735
194	0.3631446934
195	0.3623229323
196	0.3615876201
197	0.3609025268
198	0.3602415103
199	0.3598078962
200	0.3590211882
201	0.3587016771
202	0.3582643685
203	0.3573425524
204	0.3572441616
205	0.3569423411
206	0.3564344746
207	0.3559737603
208	0.3550935749
209	0.3549729646
210	0.3544400499
211	0.3529727876
212	0.3520558463
213	0.3513756379
214	0.35088457
215	0.3504365191
216	0.349876162
217	0.3491331167
218	0.3481605236
219	0.3477961968
220	0.3471314114
221	0.3466335086
222	0.3459219491
223	0.345369934
224	0.3449461486
225	0.3444954602
226	0.3442364536
227	0.3431698474
228	0.3428037641
229	0.3421922559
230	0.3413545333
231	0.3409292979
232	0.3402452124
233	0.3395500168
234	0.3388109948
235	0.3382790783
236	0.3377188722
237	0.3376150444
238	0.3366988858
239	0.3359256362
240	0.3353422601
241	0.335034593
242	0.3344592096
243	0.3340241427
244	0.3333647101
245	0.3325741947
246	0.3322801242
247	0.3315378666
248	0.3314067167
249	0.3310412286
250	0.330199296
251	0.3292623132
252	0.3283389621
253	0.327590541
254	0.3271274818
255	0.3263110553
256	0.3256722813
257	0.3251526472
258	0.3251395092
259	0.3249152951
260	0.3244448279
261	0.3242390007
262	0.3233412839
263	0.3226154922
264	0.3220275348
265	0.3214250286
266	0.3205685043
267	0.3192828967
268	0.3186437609
269	0.3182872504
270	0.3179150594
271	0.317738401
272	0.3170149914
273	0.3168516396
274	0.3163715869
275	0.3154305066
276	0.3148429522
277	0.3140969315
278	0.3139198453
279	0.313289831
280	0.3124487832
281	0.3114736578
282	0.3108997578
283	0.3098602758
284	0.3091375447
285	0.3086111937
286	0.3078496097
287	0.3071311585
288	0.3063530369
289	0.3054745948
290	0.3045455288
291	0.3041893412
292	0.3037422528
293	0.3030600421
294	0.3021557228
295	0.3012918437
296	0.3009033612
297	0.300307523
298	0.2996615496
299	0.2990051819
300	0.2982788667
301	0.2977977083
302	0.2971793326
303	0.2965512352
304	0.2960764068
305	0.2959271981
306	0.2952140387
307	0.2945894783
308	0.2940313305
309	0.2932464904
310	0.2926751695
311	0.2922405364
312	0.2919899407
313	0.2916750236
314	0.2910004075
315	0.2903927998
316	0.2896538217
317	0.2896297339
318	0.2890778484
319	0.2887045349
320	0.2880968211
321	0.2874657962
322	0.2872036581
323	0.2865705665
324	0.2859541085
325	0.285483055
326	0.2853880719
327	0.2846142873
328	0.2841792462
329	0.2836457471
330	0.2827223189
331	0.2821547577
332	0.2817862963
333	0.2808709494
334	0.2802758689
335	0.2798219252
336	0.2793866909
337	0.2789389693
338	0.2784496991
339	0.2780104729
340	0.2776669005
341	0.2771970314
342	0.2771359447
343	0.2766903701
344	0.2763927888
345	0.275712097
346	0.2752340977
347	0.2747130326
348	0.2745155691
349	0.2739888772
350	0.2734416658
351	0.2733022855
352	0.2727375757
353	0.2721649855
354	0.2715988923
355	0.2711821038
356	0.2711333215
357	0.2706423046
358	0.2699674501
359	0.2693881633
360	0.2692685951
361	0.268788526
362	0.2686812189
363	0.2682911456
364	0.2678895164
365	0.2673549155
366	0.2665214433
367	0.2659531323
368	0.2653595672
369	0.2649638233
370	0.2646484833
371	0.2641658311
372	0.2637854657
373	0.263197837
374	0.2626968606
375	0.2621905013
376	0.2618554644
377	0.261527378
378	0.2611503447
379	0.260661862
380	0.2603380445
381	0.2602159865
382	0.2596802847
383	0.259238676
384	0.2586259347
385	0.2578757664
386	0.2572188429
387	0.2567647229
388	0.2563359517
389	0.2560010122
390	0.2555168775
391	0.2551217153
392	0.2544865246
393	0.2540252712
394	0.2539976881
395	0.2534169383
396	0.2527613347
397	0.2523976965
398	0.2518134445
399	0.2515063886
400	0.2510363744
401	0.2509815686
402	0.2506383849
403	0.2501286696
404	0.2497061128
405	0.2493855002
406	0.2488939891
407	0.2486803242
408	0.2481966442
409	0.2473244419
410	0.2468989724
411	0.246500037
412	0.2460071047
413	0.2458129208
414	0.2452818338
415	0.2448681608
416	0.2445109065
417	0.2438724325
418	0.2434239409
419	0.2430842486
420	0.2426304246
421	0.2422169288
422	0.2421886446
423	0.2417983832
424	0.2411364992
425	0.2407150471
426	0.2404520407
427	0.2399326125
428	0.2392694724
429	0.2392390974
430	0.2386756491
431	0.2382930951
432	0.2377896833
433	0.2375708305
434	0.2372777392
435	0.2370801943
436	0.2368941713
437	0.2361382505
438	0.2357461432
439	0.2357392637
440	0.2354566334
441	0.2351976286
442	0.2349808467
443	0.2343844425
444	0.2341665638
445	0.2340160924
446	0.2335335613
447	0.2331893673
448	0.2326656536
449	0.2325466322
450	0.2321897918
451	0.2318148821
452	0.2314400354
453	0.2310071728
454	0.2309484918
455	0.2305763954
456	0.2304840594
457	0.2301498952
458	0.2299609528
459	0.2294890486
460	0.2291080295
461	0.2287835756
462	0.2282930828
463	0.2277285825
464	0.227502976
465	0.2270092602
466	0.2266214949
467	0.225861864
468	0.2255497685
469	0.2251453898
470	0.2245750706
471	0.2241958587
472	0.2237095627
473	0.2233747024
474	0.2231025559
475	0.2227100608
476	0.2227047331
477	0.2226985382
478	0.2224016996
479	0.2219009582
480	0.2217909883
481	0.2214163946
482	0.221110765
483	0.2209131238
484	0.2208681419
485	0.2206493809
486	0.2204522142
487	0.2200120955
488	0.2196844326
489	0.2194615147
490	0.2190124652
491	0.2185965281
492	0.2183231406
493	0.2180040543
494	0.2176782372
495	0.2173811811
496	0.2171342195
497	0.2165040369
498	0.2160691925
499	0.2158983095
