iter	Logloss
0	0.6782184829
1	0.6604814693
2	0.6456886674
3	0.63390105
4	0.6223786377
5	0.6111061612
6	0.602736896
7	0.5937617313
8	0.5853591398
9	0.5787070154
10	0.5733233215
11	0.5663403876
12	0.560891692
13	0.5546094596
14	0.5506357453
15	0.5458679445
16	0.5415555672
17	0.536710032
18	0.5331726058
19	0.5295765531
20	0.5267497757
21	0.5234781013
22	0.5197556026
23	0.5167970052
24	0.513858262
25	0.5117179563
26	0.5093642708
27	0.5072282239
28	0.5051233504
29	0.5030326549
30	0.5008327057
31	0.4987287326
32	0.4966465474
33	0.4942939804
34	0.4925932646
35	0.4906004219
36	0.4895914779
37	0.4876992927
38	0.4858039134
39	0.4842478512
40	0.4827695357
41	0.4812666822
42	0.4799410257
43	0.4787101836
44	0.4776024468
45	0.4769009358
46	0.4757884642
47	0.4745166757
48	0.4732777246
49	0.4720049123
50	0.4700691178
51	0.4692085717
52	0.4677511567
53	0.4665240836
54	0.4653936575
55	0.4643805048
56	0.4635655743
57	0.4626560848
58	0.461796906
59	0.4608113278
60	0.4601461198
61	0.459220056
62	0.4582504503
63	0.4573398865
64	0.4562707821
65	0.4551708677
66	0.4542180739
67	0.4534583915
68	0.4522766101
69	0.4509728718
70	0.4501041503
71	0.4490031373
72	0.4479879925
73	0.4463872164
74	0.4451185969
75	0.4441165766
76	0.4432819044
77	0.4424270546
78	0.4417112654
79	0.4411173464
80	0.4400754724
81	0.4392616296
82	0.4380172547
83	0.4369465202
84	0.4359217876
85	0.4354663981
86	0.4346213216
87	0.4341224506
88	0.4334409997
89	0.4327916301
90	0.4319190972
91	0.4313346177
92	0.4308663318
93	0.4297279939
94	0.4291622909
95	0.428364288
96	0.4275127382
97	0.4267707695
98	0.4257166242
99	0.4249612535
100	0.4239018332
101	0.4233922102
102	0.4228545743
103	0.4220820911
104	0.4213175425
105	0.4206489097
106	0.4200272842
107	0.4192899048
108	0.4189385251
109	0.4183003896
110	0.4172752646
111	0.4159531062
112	0.4150300097
113	0.4139163327
114	0.4132758631
115	0.4126045502
116	0.4117950321
